Country	Country ISO3	Country Code	Long Name	Income Group	Lending Category	Region	Currency Unit	Other Groups	WTO Member	latitude	longitude
Trinidad and Tobago	TTO	780	Republic of Trinidad and Tobago	High income: nonOECD	IBRD	Latin America & Caribbean	Trinidad and Tobago dollar		Yes	10.691803	-61.222503
Tunisia	TUN	788	Republic of Tunisia	Upper middle income	IBRD	Middle East & North Africa	Tunisian dinar		Yes	33.886917	9.537499
Turkey	TUR	792	Republic of Turkey	Upper middle income	IBRD	Europe & Central Asia	New Turkish lira		Yes	38.963745	35.243322
Turkmenistan	TKM	795	Turkmenistan	Upper middle income	IBRD	Europe & Central Asia	New Turkmen manat		No	38.969719	59.556278
Turks and Caicos Islands	TCA	796	Turks and Caicos Islands	High income: nonOECD		Latin America & Caribbean	U.S. dollar		No		
Tuvalu	TUV	798	Tuvalu	Upper middle income	IDA	East Asia & Pacific	Australian dollar		No	-7.109535	177.64933
Uganda	UGA	800	Republic of Uganda	Low income	IDA	Sub-Saharan Africa	Ugandan shilling	HIPC	Yes	1.373333	32.290275
Ukraine	UKR	804	Ukraine	Lower middle income	IBRD	Europe & Central Asia	Ukrainian hryvnia		Yes	48.379433	31.16558
United Arab Emirates	ARE	784	United Arab Emirates	High income: nonOECD		Middle East & North Africa	U.A.E. dirham		Yes	23.424076	53.847818
United Kingdom	GBR	826	United Kingdom of Great Britain and Northern Ireland	High income: OECD		Europe & Central Asia	Pound sterling		Yes	55.378051	-3.435973
United States	USA	840	United States of America	High income: OECD		North America	U.S. dollar		Yes	37.09024	-95.712891
United States Minor Outlying I	UMI	581		Others					No		
Unspecified	UNS	898		Others					No		
Uruguay	URY	858	Oriental Republic of Uruguay	High income: nonOECD	IBRD	Latin America & Caribbean	Uruguayan peso		Yes	-32.522779	-55.765835
Us Msc.Pac.I	USP	849		Others					No		
Uzbekistan	UZB	860	Republic of Uzbekistan	Lower middle income	Blend	Europe & Central Asia	Uzbek sum		No	41.377491	64.585262
Vanuatu	VUT	548	Republic of Vanuatu	Lower middle income	IDA	East Asia & Pacific	Vanuatu vatu		No	-15.376706	166.959158
Venezuela	VEN	862	República Bolivariana de Venezuela	High income: nonOECD	IBRD	Latin America & Caribbean	Venezuelan bolivar fuerte		Yes	6.42375	-66.58973
Vietnam	VNM	704	Socialist Republic of Vietnam	Lower middle income	Blend	East Asia & Pacific	Vietnamese dong		Yes	14.058324	108.277199
Wallis and Futuna	WLF	876		Others					No	-13.768752	-177.156097
Western Sahara	ESH	732		Others					No	24.215527	-12.885834
World	WLD	0	World	Others					No		
Yemen	YEM	887	Republic of Yemen	Lower middle income	IDA	Middle East & North Africa	Yemeni rial		No	15.552727	48.516388
Yemen Democratic	YDR	720		Others					No		
Yugoslavia, FR (Serbia/Montene	YUG	890		Others					No		
Zambia	ZMB	894	Republic of Zambia	Lower middle income	IDA	Sub-Saharan Africa	New Zambian kwacha	HIPC	Yes	-13.133897	27.849332
Zimbabwe	ZWE	716	Republic of Zimbabwe	Low income	Blend	Sub-Saharan Africa	U.S. dollar		Yes	-19.015438	29.154857
