Country	Country ISO3	Country Code	Long Name	Income Group	Lending Category	Region	Currency Unit	Other Groups	WTO Member	latitude	longitude
Costa Rica	CRI	188	Republic of Costa Rica	Upper middle income	IBRD	Latin America & Caribbean	Costa Rican colon		Yes	9.748917	-83.753428
Croatia	HRV	191	Republic of Croatia	High income: nonOECD	IBRD	Europe & Central Asia	Croatian kuna		Yes	45.1	15.2
Cuba	CUB	192	Republic of Cuba	Upper middle income		Latin America & Caribbean	Cuban peso		Yes	21.521757	-77.781167
Curaçao	CUW	531	Curaçao	High income: nonOECD		Latin America & Caribbean	Netherlands Antillean guilder		No		
Cyprus	CYP	196	Republic of Cyprus	High income: nonOECD		Europe & Central Asia	Euro	Euro area	Yes	35.126413	33.429859
Czech Republic	CZE	203	Czech Republic	High income: OECD		Europe & Central Asia	Czech koruna		Yes	49.817492	15.472962
Czechoslovakia	CSK	200		Others					No		
Côte d'Ivoire	CIV	384	Republic of Côte d'Ivoire	Lower middle income	IDA	Sub-Saharan Africa	CFA franc	HIPC	Yes	7.539989	-5.54708
Denmark	DNK	208	Kingdom of Denmark	High income: OECD		Europe & Central Asia	Danish krone		Yes	56.26392	9.501785
Djibouti	DJI	262	Republic of Djibouti	Lower middle income	IDA	Middle East & North Africa	Djibouti franc		Yes	11.825138	42.590275
Dominica	DMA	212	Commonwealth of Dominica	Upper middle income	Blend	Latin America & Caribbean	East Caribbean dollar		Yes	15.414999	-61.370976
Dominican Republic	DOM	214	Dominican Republic	Upper middle income	IBRD	Latin America & Caribbean	Dominican peso		Yes	18.735693	-70.162651
East Asia & Pacific	EAS	EAS	East Asia & Pacific (all income levels)	Others							
East Asia & Pacific	EAS	EAS	East Asia & Pacific (all income levels)	Others							
East Timor	TMP	626	Democratic Republic of Timor-Leste	Lower middle income	Blend	East Asia & Pacific	U.S. dollar		No		
Ecuador	ECU	218	Republic of Ecuador	Upper middle income	IBRD	Latin America & Caribbean	U.S. dollar		Yes	-1.831239	-78.183406
Egypt	EGY	818	Arab Republic of Egypt	Lower middle income	IBRD	Middle East & North Africa	Egyptian pound		Yes	26.820553	30.802498
El Salvador	SLV	222	Republic of El Salvador	Lower middle income	IBRD	Latin America & Caribbean	U.S. dollar		Yes	13.794185	-88.89653
Equatorial Guinea	GNQ	226	Republic of Equatorial Guinea	High income: nonOECD	IBRD	Sub-Saharan Africa	CFA franc		No	1.650801	10.267895
Eritrea	ERI	232	State of Eritrea	Low income	IDA	Sub-Saharan Africa	Eritrean nakfa	HIPC	No	15.179384	39.782334
Estonia	EST	233	Republic of Estonia	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	58.595272	25.013607
Ethiopia	ETH	231	Federal Democratic Republic of Ethiopia	Low income	IDA	Sub-Saharan Africa	Ethiopian birr	HIPC	No	9.145	40.489673
Ethiopia(includes Eritrea)	ETF	230		Others					No		
Europe & Central Asia	ECS	ECS	Europe & Central Asia (all income levels)	Others							
Falkland Island	FLK	238		Others					No		
Faroe Islands	FRO	234	Faeroe Islands	High income: nonOECD		Europe & Central Asia	Danish krone		No	61.892635	-6.911806
Fiji	FJI	242	Republic of Fiji	Upper middle income	IBRD	East Asia & Pacific	Fijian dollar		Yes	-16.578193	179.414413
Finland	FIN	246	Republic of Finland	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	61.92411	25.748151
Fr. So. Ant. Tr	ATF	260		Others					No		
France	FRA	250	French Republic	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	46.227638	2.213749
Free Zones	FRE	838		Others					No		
French Guiana	GUF	254		Others					No	3.933889	-53.125782
French Polynesia	PYF	258	French Polynesia	High income: nonOECD		East Asia & Pacific	CFP franc		No	-17.679742	-149.406843
Gabon	GAB	266	Gabonese Republic	Upper middle income	IBRD	Sub-Saharan Africa	CFA franc		Yes	-0.803689	11.609444
Gambia	GMB	270	Republic of The Gambia	Low income	IDA	Sub-Saharan Africa	Gambian dalasi	HIPC	Yes	13.443182	-15.310139
Georgia	GEO	268	Georgia	Lower middle income	IBRD	Europe & Central Asia	Georgian lari		Yes	42.315407	43.356892
German Democratic Republic	DDR	278		Others					No		
Germany	DEU	276	Federal Republic of Germany	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	51.165691	10.451526
Ghana	GHA	288	Republic of Ghana	Lower middle income	IDA	Sub-Saharan Africa	New Ghanaian cedi	HIPC	Yes	7.946527	-1.023194
Gibraltar	GIB	292		Others					No	36.137741	-5.345374
Greece	GRC	300	Hellenic Republic	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	39.074208	21.824312
Greenland	GRL	304	Greenland	High income: nonOECD		Europe & Central Asia	Danish krone		No	71.706936	-42.604303
Grenada	GRD	308	Grenada	Upper middle income	Blend	Latin America & Caribbean	East Caribbean dollar		Yes	12.262776	-61.604171
Guadeloupe	GLP	312		Others					No	16.995971	-62.067641
Guam	GUM	316	Guam	High income: nonOECD		East Asia & Pacific	U.S. dollar		No	13.444304	144.793731
Guatemala	GTM	320	Republic of Guatemala	Lower middle income	IBRD	Latin America & Caribbean	Guatemalan quetzal		Yes	15.783471	-90.230759
Guinea	GIN	324	Republic of Guinea	Low income	IDA	Sub-Saharan Africa	Guinean franc	HIPC	Yes	9.945587	-9.696645
Guinea-Bissau	GNB	624	Republic of Guinea-Bissau	Low income	IDA	Sub-Saharan Africa	CFA franc	HIPC	Yes	11.803749	-15.180413
Guyana	GUY	328	Co-operative Republic of Guyana	Lower middle income	IDA	Latin America & Caribbean	Guyana dollar	HIPC	Yes	4.860416	-58.93018
Haiti	HTI	332	Republic of Haiti	Low income	IDA	Latin America & Caribbean	Haitian gourde	HIPC	Yes	18.971187	-72.285215
Heard Island and McDonald Islands	HMD	334		Others					No	-53.08181	73.504158
Holy See	VAT	336		Others					No		
Honduras	HND	340	Republic of Honduras	Lower middle income	IDA	Latin America & Caribbean	Honduran lempira	HIPC	Yes	15.199999	-86.241905
